id_speech,id_extract,emerging_topic,textual_extract
M_85,M_85_financing_debt,Financing / debt,It is clear that we need an international financial architecture that facilitates productive investments.
M_85,M_85_peace_and_security,Peace and security,Equatorial Guinea and the Gabonese Republic submitted their territorial disputes to the International Court of Justice.
M_85,M_85_other,Other,We encourage the United States of America and the Republic of Cuba to continue to pursue paths of dialogue... to end the blockade.
M_86,M_86_peace_and_security,Peace and security,The ongoing conflict in Sudan remains a matter of profound concern to The Gambia.
M_86,M_86_financing_debt,Financing / debt,"Developing countries need greater access to affordable, long-term finance; meaningful reform of the multilateral development system; sustainable solutions to debt."
M_86,M_86_climate_change,Climate change,"Coastal erosion, changing rainfall patterns, pressure on water resources, food insecurity and environmental degradation are already affecting our communities."
M_86,M_86_ai_digital_transformation,AI / digital transformation,"Artificial intelligence and emerging technologies offer extraordinary opportunities, but opportunity without inclusion can become another source of inequality."
M_86,M_86_migration,Migration,"Migration contributes significantly to economic development, cultural exchange and human progress. Yet irregular migration continues to expose young people to exploitation."
M_86,M_86_human_rights,Human rights,The suffering of the Palestinian people remains a profound test of the credibility of the international system.
M_86,M_86_food_security,Food security,"The Gambia is investing in agricultural productivity, mechanization, irrigation and climate-smart agriculture."
M_86,M_86_global_health,Global health,"Ensuring food security, building strengthened and resilient health systems, and pandemic preparedness remain equally urgent."
M_87,M_87_peace_and_security,Peace and security,"36,000 homes were totally destroyed... hundreds of Colombians lost their lives in the earthquake."
M_87,M_87_other,Other,Drugs trafficking is a transnational criminal enterprise... its networks operate across numerous countries.
M_87,M_87_ai_digital_transformation,AI / digital transformation,"We want to train young people for super intelligence, for robotics, for data science, for agro industry, for engineering, and for the new economy."
M_87,M_87_human_rights,Human rights,"We trust in a democratic transition in Venezuela, a swift, safe, far reaching transition."
M_88,M_88_peace_and_security,Peace and security,"For the past three years, our heroic soldiers have fought day in and day out in a seven front war."
M_88,M_88_human_rights,Human rights,The Hamas terrorists committed the worst slaughter of Jews since the Holocaust.
M_88,M_88_ai_digital_transformation,AI / digital transformation,"We pioneer incredible developments in health, agriculture, artificial intelligence, superior intelligence."
M_88,M_88_technology_digital_divide,Technology / digital divide,"This is a communications device, Starlink that allows people to access truth, to exercise, choice, to exercise, freedom of thought and freedom of speech."
M_89,M_89_peace_and_security,Peace and security,We must achieve a just and lasting peace that puts an end to the brutal and illegal aggression of Russia against Ukraine.
M_89,M_89_climate_change,Climate change,We also bear the intergenerational responsibility to accelerate the energy transition in order to reduce dependencies and mitigate the effects of climate change.
M_89,M_89_ai_digital_transformation,AI / digital transformation,"In the face of the new challenge posed by artificial intelligence, we must find together the right balance between innovation and regulation."
M_89,M_89_financing_debt,Financing / debt,"We are investing in innovative solutions, such as agreements to convert debt into green investment."
M_89,M_89_food_security,Food security,"Protecting human dignity by combating poverty and safeguarding fundamental rights, food security, and the future of the new generations."
M_90,M_90_peace_and_security,Peace and security,"The war in Ukraine, the Middle East, Sudan, Haiti, Yemen and Africa, including the expansion of terrorism in the Sahel."
M_90,M_90_climate_change,Climate change,Global inequalities are increasing climate. The climate urgency has become an even more bitter reality.
M_90,M_90_global_health,Global health,"Of course, there are worsening health crises. The Ebola epidemic is an example of just that."
M_90,M_90_financing_debt,Financing / debt,There needs to be a wholesale reform of international financial architecture. There needs to be sustainable debt.
M_90,M_90_ai_digital_transformation,AI / digital transformation,"Senegal also believes in the transformative potential of new technologies, including the development of AI that is based on robust morals and ethical code."
M_91,M_91_climate_change,Climate change,"Carbon emitted far from the Pacific takes our shorelines, our homes and our sacred places."
M_91,M_91_peace_and_security,Peace and security,Fiji calls for the peaceful settlement of conflicts wherever they occur.
M_91,M_91_financing_debt,Financing / debt,"Its initial capitalisation target is five hundred million United States dollars by December, of which one hundred and seventy-three million has been pledged."
M_91,M_91_migration,Migration,Labour mobility must also not become a one-way transfer of the people we have trained.
M_91,M_91_global_health,Global health,"This month, Fiji declared a national HIV emergency."
M_91,M_91_development_sdgs,Development / SDGs,"With 2030 approaching, too many Sustainable Development Goals remain off track."
M_92,M_92_ai_digital_transformation,AI / digital transformation,Cote d'Ivoire supports the efforts of the United Nations to promote global governance of artificial intelligence.
M_92,M_92_peace_and_security,Peace and security,Cote d'Ivoire remains deeply concerned about the resumption of hostilities in the Near and Middle East.
M_92,M_92_climate_change,Climate change,"Africa contributes the least to global greenhouse gas emissions, yet remains among the regions most hit hardest by their consequences."
M_92,M_92_financing_debt,Financing / debt,Cote d'Ivoire calls for an ambitious reform of the international financial architecture and a renewed global partnership.
M_92,M_92_development_sdgs,Development / SDGs,Progress towards achieving the Sustainable Development Goals remains insufficient.
M_93,M_93_peace_and_security,Peace and security,"Nigeria's prolonged struggle against Boko Haram, ISWAP and other armed groups."
M_93,M_93_climate_change,Climate change,Nigeria remains committed to the Paris Agreement and an equitable energy transition.
M_93,M_93_ai_digital_transformation,AI / digital transformation,"We can deploy artificial intelligence to wage war or use it to transform healthcare, education, agriculture, governance and economic productivity."
M_93,M_93_financing_debt,Financing / debt,"Many developing countries devote substantial resources to debt servicing at the expense of education, healthcare and infrastructure."
M_93,M_93_development_sdgs,Development / SDGs,Nigeria further recognises the African Continental Free Trade Area as one of the continent's most transformative opportunities.
M_94,M_94_peace_and_security,Peace and security,the terrorist Houthi militia against the state and its institutions
M_94,M_94_human_rights,Human rights,"terrorizing of women, laying of mines, confiscation of rights, freedoms and public resources"
M_94,M_94_food_security,Food security,"millions of people enduring hunger, injuries, displacement"
M_95,M_95_peace_and_security,Peace and security,"illegal Iranian aggression involving ballistic, ballistic missiles, cruise missiles and drones"
M_95,M_95_ai_digital_transformation,AI / digital transformation,to strengthen international cooperation on artificial intelligence
M_95,M_95_development_sdgs,Development / SDGs,"continuing its digital transformation, empowering women and youth"
M_96,M_96_climate_change,Climate change,The climate crisis is accelerating... methane reduction at the centre of climate implementation
M_96,M_96_ai_digital_transformation,AI / digital transformation,"Artificial intelligence is opening extraordinary possibilities in health, education, science, and productivity"
M_96,M_96_inequality,Inequality,"Growing inequality is at the centre of geopolitical discussions, tensions, distrust in institutions"
M_96,M_96_financing_debt,Financing / debt,"Vulnerable countries need to mobilise approximately $490 billion each year by 2030, and yet the current inflows are roughly $90 billion"
M_96,M_96_human_rights,Human rights,the trafficking of enslaved African and racialized chattel enslavement of Africans is the gravest crime against humanity
M_96,M_96_peace_and_security,Peace and security,"245,000 individuals faced battle related deaths"
M_97,M_97_peace_and_security,Peace and security,"The peace between Armenia and Azerbaijan, established on August 8, 2025... has opened up new opportunities for our region."
M_97,M_97_development_sdgs,Development / SDGs,"TRIPP project... great benefits to all countries in our region, and these potential benefits can become a cornerstone of long-term stability and peace."
M_97,M_97_climate_change,Climate change,Armenia will host the 17th Conference of the Parties to the Convention on Biological Diversity.
M_98,M_98_peace_and_security,Peace and security,The situation in Palestine continues to demand our attention.
M_98,M_98_human_rights,Human rights,Universal human rights lose their meaning when applied selectively.
M_98,M_98_development_sdgs,Development / SDGs,The SDG Sustainable Development Goals provide us with an important framework that goes beyond development.
M_98,M_98_migration,Migration,We are giving displaced persons from Myanmar... greater opportunities to work and support their families.
M_98,M_98_food_security,Food security,We are building upon our strong agricultural base to be a source of food security for the world.
M_98,M_98_global_health,Global health,Our universal health coverage ensures that people have access to affordable and quality healthcare.
M_98,M_98_climate_change,Climate change,Our energy transition efforts take Thailand closer to meeting climate obligations.
M_99,M_99_peace_and_security,Peace and security,Twenty percent of our country remains under the occupation of the Russian Federation.
M_99,M_99_development_sdgs,Development / SDGs,These priorities are fully aligned with Georgia's commitment to the Sustainable Development Goals.
M_99,M_99_technology_digital_divide,Technology / digital divide,"Georgia aims to strengthen secure, resilient, and diversified digital links between Europe and Asia."
M_99,M_99_inequality,Inequality,"Narrowing disparities between urban and rural communities, expanding opportunities across every region."
M_100,M_100_peace_and_security,Peace and security,"We believe that every conflict should be resolved through dialogue, diplomatic processes and mutual cooperation."
M_100,M_100_migration,Migration,"Bangladesh expects stronger global cooperation to ensure the rights, dignity and well-being of migrants."
M_100,M_100_human_rights,Human rights,"For more than nine years, Bangladesh has been sheltering more than 1.2 million forcibly displaced Rohingya from Myanmar."
M_100,M_100_climate_change,Climate change,"Bangladesh expects stronger global action at COP31 on climate justice, climate finance and adaptation support."
M_100,M_100_development_sdgs,Development / SDGs,At least 73 per cent of the activities under the Government's 31-point programme have a direct alignment... with the United Nations Sustainable Development Goals.
M_100,M_100_ai_digital_transformation,AI / digital transformation,We do not want today's digital divide to become tomorrow's artificial intelligence divide.
M_100,M_100_global_health,Global health,"It is essential to ensure sustainable production of vaccines, therapeutics and diagnostic equipment in developing countries."
M_101,M_101_peace_and_security,Peace and security,"We see the unending human suffering in Gaza, Sudan and so many other places in the world."
M_101,M_101_human_rights,Human rights,Russia must be held to account for its flagrant violations of the UN Charter.
M_101,M_101_climate_change,Climate change,It is also time for us to press forward together and tackle that other great challenge of our age: climate change.
M_101,M_101_ai_digital_transformation,AI / digital transformation,Take the question of how we handle AI... do we let a small group of companies and countries take all the decisions.
M_101,M_101_food_security,Food security,"Russia threatening global food security, and millions of people experiencing the consequences."
M_101,M_101_development_sdgs,Development / SDGs,"Thanks to our joint efforts on the Sustainable Development Goals, 92 per cent of the world's population now has access to electricity."
M_102,M_102_human_rights,Human rights,"We condemn the authorities’ systematic repression, arbitrary detention and persecution of political opponents, human rights defenders and independent voices."
M_102,M_102_peace_and_security,Peace and security,Russia's war of aggression against Ukraine is a flagrant violation of the United Nations Charter.
M_102,M_102_other,Other,"I call on the Member States of the United Nations, regional organizations and the United Nations system to develop a new approach and a strategy for the prevention of genocide and other mass atrocities."
M_103,M_103_ai_digital_transformation,AI / digital transformation,The risks of an unchecked and unregulated advance in artificial intelligence could greatly outweigh its potential benefits.
M_103,M_103_peace_and_security,Peace and security,"Freedom of navigation and uninhibited passage through international straits, as guaranteed by international law, must be championed globally."
M_103,M_103_migration,Migration,"Should the devastating war continue, our continent will be the first to suffer from a possible massive new migratory wave."
M_103,M_103_food_security,Food security,"grave consequences for supply chains, energy markets and food security worldwide."
M_104,M_104_climate_change,Climate change,"And addressing climate change, which threatens their very existence through rising sea levels and increasing salinity."
M_104,M_104_ai_digital_transformation,AI / digital transformation,The technological development that must now be the subject of public discussion is artificial intelligence.
M_104,M_104_peace_and_security,Peace and security,"We oppose Russia's continued illegal, unprovoked and immoral invasion of Ukraine."
M_104,M_104_technology_digital_divide,Technology / digital divide,Australia's social media ban for under 16 and digital duty of care to deliver control back into the hands of people.
M_104,M_104_human_rights,Human rights,"We champion the rights, sovereignty, and agency of all, particularly smaller and mid-sized nations."
M_105,M_105_human_rights,Human rights,The denial of the fundamental human rights of millions of people around the world remains one of the defining challenges of our time.
M_105,M_105_peace_and_security,Peace and security,"Today, Russia's illegal war in Ukraine is more deadly for civilians than at any point since the start of their full-scale invasion."
M_105,M_105_climate_change,Climate change,"From devastating floods in Nepal to wildfires across Europe, communities are increasingly experiencing the consequences of a changing climate."
M_105,M_105_food_security,Food security,"Russia's actions have already had direct global impact, in increased food and energy costs."
M_105,M_105_other,Other,15 million Sudanese people are displaced from their homes. Over 19.5 million face crisis levels of hunger.
M_106,M_106_climate_change,Climate change,A warming climate is destabilizing the fragile Himalayan ecology.
M_106,M_106_financing_debt,Financing / debt,"We need adequate grant-based support from the world. The Loss and Damage Fund, the Global Environment Facility and other relevant financing mechanisms remain grossly inadequate."
M_106,M_106_food_security,Food security,"When a poor farmer in Nepal went to sow her seeds this monsoon, fertilizers didn’t reach her on time."
M_106,M_106_development_sdgs,Development / SDGs,A country whose steady progress to achieve Sustainable Development Goals has been interrupted.
M_106,M_106_inequality,Inequality,Nepal believes we need a much fairer global economic order.
M_107,M_107_peace_and_security,Peace and security,"For more than four years, Russia’s war of aggression against Ukraine has violated the UN Charter."
M_107,M_107_ai_digital_transformation,AI / digital transformation,"We therefore need international rules for autonomous weapons, built around one clear principle: no machine may decide to take a human life."
M_107,M_107_human_rights,Human rights,Peace also requires dialogue... And peace rests on human rights.
M_107,M_107_migration,Migration,Families forced to flee war and seek safety in Europe.
M_108,M_108_inequality,Inequality,South Africa made inequality a key focus of our G20 Presidency in 2025.
M_108,M_108_financing_debt,Financing / debt,African countries spent roughly the same amount on servicing debt as is needed to close our infrastructure financing gap.
M_108,M_108_climate_change,Climate change,"Climate disasters and extreme weather patterns threaten our people, our prosperity, and our hard-won development gains."
M_108,M_108_peace_and_security,Peace and security,The State of Israel’s continued violations of international and humanitarian law constitute genocide.
M_108,M_108_ai_digital_transformation,AI / digital transformation,Africa must have a stake in shaping the rules that govern the development and deployment of Artificial Intelligence.
M_108,M_108_development_sdgs,Development / SDGs,"With only 36 percent of the Sustainable Development Goals showing sufficient progress, we are running out of time!"
