id_speech,id_extract,emerging_topic,textual_extract
M_7,M_7_climate_change,Climate change,We are particularly vulnerable to the effects of melting glaciers.
M_7,M_7_food_security,Food security,"their negative impact on energy, agriculture, food security and the economy as a whole has reached a significant scale."
M_7,M_7_financing_debt,Financing / debt,we are prepared to contribute 10 million US dollars from the state budget to this fund.
M_8,M_8_peace_and_security,Peace and security,the crisis in the Gulf and its repercussions on the entire world.
M_8,M_8_human_rights,Human rights,What has transpired in Gaza is genocide in every sense of the word.
M_8,M_8_development_sdgs,Development / SDGs,"Doha is preparing to host the fourth Global Disability Summit in 2028, reaffirming our commitment to empowering persons with disabilities."
M_9,M_9_peace_and_security,Peace and security,"Russia's war of aggression against Ukraine, supported by its proxies."
M_9,M_9_ai_digital_transformation,AI / digital transformation,advancing the Vilnius Convention – the world's first legally binding international treaty on artificial intelligence.
M_9,M_9_food_security,Food security,"We cannot tolerate any longer Moscow's colonial aspirations, which undermine global food security and driving up food prices."
M_9,M_9_human_rights,Human rights,"How many people will be tortured, sexually assaulted, thrown into dark dungeons, never to see the sunlight again?"
M_10,M_10_peace_and_security,Peace and security,"We are faced with another type of war that is declared by transnational criminal organizations, organizations that have sowed terror among our people."
M_10,M_10_development_sdgs,Development / SDGs,"We have forged ahead because in addition to defeating terrorism, we have proven able to almost triple in real terms our GDP."
M_10,M_10_human_rights,Human rights,The defence of human rights must not ultimately turn victims into those in the dock and torturers into those we protect.
M_11,M_11_peace_and_security,Peace and security,"Wars must stop. They do not only drain the blood of those that fight them, they plunge people into poverty."
M_11,M_11_ai_digital_transformation,AI / digital transformation,"Artificial intelligence is not only a technical matter that we can delegate to experts, it is an ethical challenge, and it's a geopolitical issue."
M_11,M_11_financing_debt,Financing / debt,"In the last six months, we've had requests to invest more than $44 billion in our economy."
M_11,M_11_migration,Migration,"Our borders are under better control. We have our border shield plan, and that has made it possible to reduce irregular entry by 86%."
M_12,M_12_peace_and_security,Peace and security,"In Ukraine, for almost five years now, Russia has been waging a cruel war on civilians."
M_12,M_12_climate_change,Climate change,"Let's uphold our commitment to the Paris Agreement, to our decarbonization pathways, to our 2050 carbon neutrality target."
M_12,M_12_ai_digital_transformation,AI / digital transformation,"We must come together to build an open source frontier model, a cutting edge model, using all of the calculation capabilities we have."
M_12,M_12_food_security,Food security,"A Black Sea moratorium, which would allow us to release grain shipments, addressing food security concerns."
M_12,M_12_financing_debt,Financing / debt,We held our word $100 billion in special drawing rights allocated to helping African countries.
M_12,M_12_human_rights,Human rights,"What we need is respect for the legitimate rights of the Palestinian people, their legitimate right to exist."
M_12,M_12_global_health,Global health,We must put the finishing touches on the Pandemics Treaty and CDC should be in a position to combat Ebola ever more effectively.
M_13,M_13_peace_and_security,Peace and security,The Coalition works for a just and lasting peace in Ukraine in accordance with the UN Charter.
M_13,M_13_ai_digital_transformation,AI / digital transformation,"Norway and Finland have launched a call for companies, governments, regional organisations and the UN to develop mechanisms to control frontier models of AI."
M_13,M_13_development_sdgs,Development / SDGs,The need for reform also extends to the global economic architecture.
M_13,M_13_human_rights,Human rights,Gaza continues to be one of the world's most acute humanitarian emergencies.
M_14,M_14_climate_change,Climate change,Small island developing states are already experiencing consequences that threaten their very existence.
M_14,M_14_ai_digital_transformation,AI / digital transformation,Artificial intelligence and other emerging technologies are already transforming our way of life and the way in which we work.
M_14,M_14_peace_and_security,Peace and security,Russia's war of aggression against Ukraine has brought war back to our continent.
M_14,M_14_human_rights,Human rights,"We continue to support the office of the High Commissioner for Human Rights, as well as efforts aimed at clarifying the fate of persons who were disappeared in Syria."
M_15,M_15_peace_and_security,Peace and security,"the wars between Russia and Ukraine, in the Israeli-Palestinian conflict in the Middle East and in the Persian Gulf."
M_15,M_15_financing_debt,Financing / debt,"African countries spend far more resources on the exorbitant costs of debt servicing than they are able to invest in health, education and infrastructure development programmes."
M_15,M_15_climate_change,Climate change,"severe and prolonged droughts, floods, desertification, food insecurity and population displacement."
M_15,M_15_ai_digital_transformation,AI / digital transformation,the Global Digital Compact opens new prospects for cooperation to bridge the digital divide.
M_15,M_15_human_rights,Human rights,"We condemn the genocide against defenceless populations, the elderly, women, children, bedridden patients, health professionals, journalists and workers of international humanitarian organizations."
M_16,M_16_climate_change,Climate change,"As a country experiencing the adverse impacts of climate change first-hand, Mongolia has remained steadfast in contributing to global collective efforts to protect and preserve our natural environment."
M_16,M_16_food_security,Food security,"aimed at restoring degraded land, expanding forest resources, protecting soil, water and pastureland, ensuring food supply and security, and supporting sustainable rural development."
M_16,M_16_peace_and_security,Peace and security,"our planet is currently confronted with more than 90 armed conflicts, around 30 of which are international"
M_16,M_16_development_sdgs,Development / SDGs,"the 2026 SDG report shows that only 36 percent of the Sustainable Development Goals are on track or making moderate progress, while 15 percent are regressing."
M_16,M_16_human_rights,Human rights,"Mongolia has been contributing with honor to the efforts on strengthening international peace and security, advancing social and economic development, and protecting human rights."
M_17,M_17_climate_change,Climate change,"The glacial flooding in Nepal that claimed many lives and destroyed the foundations of people’s livelihoods evidences that the climate crisis is a reality of today, not tomorrow."
M_17,M_17_ai_digital_transformation,AI / digital transformation,The Republic of Korea envisions a ‘Global AI Universal Basic Society’ where no country or individual is left out from access to the basic benefits of AI development.
M_17,M_17_peace_and_security,Peace and security,"Persistent armed conflicts around the world, including those in Ukraine and the Middle East, continue to threaten the survival of humanity."
M_17,M_17_development_sdgs,Development / SDGs,"In 2015, the international community adopted the Sustainable Development Goals as our shared commitments for a bright future."
M_17,M_17_financing_debt,Financing / debt,Co-hosting the ‘4th UN Ocean Conference’ with Chile in 2028 reflects our commitment to leading discussions on the sustainable development of our oceans.
M_18,M_18_climate_change,Climate change,"I will continue my plea for just and effective climate finance, because our forests are under even more pressure than when I addressed this meeting last year."
M_18,M_18_migration,Migration,"the international community is experiencing profound uncertainty, including energy and food security crises, leading to intensified displacement of many people globally."
M_18,M_18_ai_digital_transformation,AI / digital transformation,we must also prepare for the transformation driven by artificial intelligence.
M_18,M_18_human_rights,Human rights,The pursuit of restorative justice gained new momentum with the adoption of the resolution on Slavery and Transatlantic Trafficking of Enslaved Africans.
M_18,M_18_development_sdgs,Development / SDGs,"With only four years left to achieve the Sustainable Development Goals, we may question whether we were too ambitious or if we should have done much more."
M_18,M_18_financing_debt,Financing / debt,"The development of Suriname’s offshore natural resources including oil and gas, will present significant opportunities to accelerate national development."
M_19,M_19_peace_and_security,Peace and security,"In the Middle East, the UN Charter and international law must guide us. Civilians must be protected, humanitarian access ensured, aggression and occupation ended."
M_19,M_19_human_rights,Human rights,"Reparatory justice is therefore not a plea for charity. It calls for acknowledgement, formal apology, the return of cultural heritage, fair redress and guarantees of non-repetition."
M_19,M_19_climate_change,Climate change,"In Shenge, on Sierra Leone's southern coast, families watch the sea take land, fishing grounds and the graves of their ancestors."
M_19,M_19_ai_digital_transformation,AI / digital transformation,"Artificial Intelligence can improve education, healthcare, agriculture and public administration. It can also widen inequality if infrastructure, knowledge and rule-making remain concentrated in a few countries."
M_19,M_19_financing_debt,Financing / debt,"Developing countries need fairer voting power, stronger representation and increased capital within these institutions, together with affordable finance, concessional resources and fairer debt treatment."
M_19,M_19_food_security,Food security,"Through Feed Salone, we are increasing domestic food production and strengthening food security."
M_19,M_19_development_sdgs,Development / SDGs,"Through Free Quality School Education, we are widening the path from the circumstances of a child's birth to the possibilities of that child's future."
M_20,M_20_peace_and_security,Peace and security,"The aggression of the Russian Federation against Ukraine is a flagrant example of a violation of the UN Charter and international law, while Gaza is humanity's greatest defeat in the twenty-first century."
M_20,M_20_human_rights,Human rights,Judgments of the highest UN courts have established that genocide was committed against Bosniaks.
M_20,M_20_climate_change,Climate change,aware of climate change and committed to contributing to global efforts; committed to the transition towards renewable energy sources and the reduction of harmful gas emissions.
M_20,M_20_development_sdgs,Development / SDGs,consistently implement the Sustainable Development Goals.
M_21,M_21_climate_change,Climate change,Dominica has begun the transition from imported fossil fuels to renewable energy... increasing the renewable share of our electricity generation to approximately 84 percent.
M_21,M_21_financing_debt,Financing / debt,We call for stronger disaster clauses in sovereign debt instruments... a fundamental shift in the way the international community views investment in resilience.
M_21,M_21_development_sdgs,Development / SDGs,"The SDGs represented a promise that, by 2030, we would make meaningful progress in ending poverty and hunger... Today, that promise is at risk."
M_21,M_21_peace_and_security,Peace and security,We meet at a time when war continues to devastate communities and ruin lives... international law is under pressure.
M_21,M_21_food_security,Food security,"these resources are part of our identity, but they are also essential to our food security, our tourism product and the livelihoods of our people."
M_22,M_22_ai_digital_transformation,AI / digital transformation,AI is the most obvious illustration of this... risk of a new divide between those who have the skills and infrastructure needed to participate.
M_22,M_22_peace_and_security,Peace and security,The prohibition of the use of force and respect for sovereignty and territorial integrity are being openly violated.
M_22,M_22_financing_debt,Financing / debt,"The multilateral trading system has been weakened, and the WTO can no longer fully carry out some of its essential functions."
M_22,M_22_climate_change,Climate change,"Climate change and the increase in the number of disasters, humanitarian crises, inequalities and also technological upheavals."
M_23,M_23_peace_and_security,Peace and security,Viet Nam supports the right of the Palestinian people to self-determination and the two-State solution.
M_23,M_23_financing_debt,Financing / debt,"Commitments on financing for development, including the Sevilla Commitment, must be translated into concrete measures."
M_23,M_23_ai_digital_transformation,AI / digital transformation,"Science, technology, digital transformation and artificial intelligence are opening up unprecedented opportunities, while also presenting new challenges."
M_23,M_23_climate_change,Climate change,"Climate action must be accorded its rightful place in development cooperation, particularly through adaptation finance, technology transfer and a just energy transition."
M_23,M_23_human_rights,Human rights,"As a member of the United Nations Human Rights Council, Viet Nam champions dialogue and cooperation in promoting and protecting human rights."
M_24,M_24_climate_change,Climate change,"Rising seas threaten our infrastructure, our coastal livelihoods, and our very territory."
M_24,M_24_financing_debt,Financing / debt,"We require affordable, accessible, long-term financing, meaningful debt relief, and the full implementation of the Multidimensional Vulnerability Index (MVI)."
M_24,M_24_ai_digital_transformation,AI / digital transformation,We must address the rapid rise of artificial intelligence and emerging technologies... risk widening the global divide and enabling new forms of warfare and cybercrime.
M_24,M_24_peace_and_security,Peace and security,"Transnational organized crime, drug trafficking, and illegal, unreported, and unregulated (IUU) fishing threaten our security."
M_25,M_25_development_sdgs,Development / SDGs,That is why we strongly support the Multidimensional Vulnerability Index and the United Nations' efforts to pilot the tool.
M_25,M_25_financing_debt,Financing / debt,fifty-eight per cent of our revenue comes from bilateral arrangements that are not ours to renew.
M_25,M_25_peace_and_security,Peace and security,"For thirty-three consecutive years, this Assembly has called for an end to the embargo against Cuba."
M_25,M_25_other,Other,Naoero is an ocean State... the deep seabed area beyond national jurisdiction.
M_26,M_26_climate_change,Climate change,Tanzania joins Small Islands and Coastal States in pushing for a workable solution to address sea-level rise.
M_26,M_26_global_health,Global health,Tanzania has made significant strides in reducing maternal and child mortality by expanding facility delivery from 51 per cent in 2015 to 81 per cent in 2022.
M_26,M_26_financing_debt,Financing / debt,"they are restricted by high borrowing costs, rising debt burdens, and limited access to affordable long-term finance."
M_26,M_26_peace_and_security,Peace and security,"Tanzania remains firmly committed to the two-State solution, with Israel and Palestine living side by side in peace and harmony."
M_26,M_26_human_rights,Human rights,"Tanzania reaffirms its position to oppose the use of such coercive measures against any Member State and reaffirms its unwavering solidarity with Cuba, Zimbabwe."
M_27,M_27_ai_digital_transformation,AI / digital transformation,Artificial-intelligence and data-centre projects are moving forward.
M_27,M_27_development_sdgs,Development / SDGs,So Bhutan must transform... Jobs. Opportunities. Enterprise. A future.
M_27,M_27_climate_change,Climate change,"This is not empty land. It is a living, carbon-negative landscape. A biodiversity hotspot."
M_28,M_28_ai_digital_transformation,AI / digital transformation,"we are now talking about a call for practical, practical AI to be renamed superintelligence"
M_28,M_28_peace_and_security,Peace and security,Transnational organized crime continues to pose a serious threat to the security and development of small island states
M_28,M_28_migration,Migration,"criminal networks that move people, that move weapons, that move narcotics and illicit finance across national borders"
M_29,M_29_peace_and_security,Peace and security,Russia's aggression against Ukraine is the most obvious example... it must be said that the Security Council is not functioning for international peace
M_29,M_29_ai_digital_transformation,AI / digital transformation,"Japan took the initiative to launch the 'Hiroshima AI Process', establishing the world's first international principles and code of conduct to govern generative AI"
M_29,M_29_climate_change,Climate change,Japan has been advancing Green Transformation (GX) efforts with the goal of achieving net-zero by 2050
M_29,M_29_food_security,Food security,"Due to disruptions in the supply of fertilizers, the risk of a food crisis is mounting, with Africa and Asia being hit particularly hard"
M_29,M_29_development_sdgs,Development / SDGs,TICAD has served as a platform for reflecting Africa's voice in the Sustainable Development Goals (SDGs)
M_29,M_29_global_health,Global health,Japan has been promoting initiatives towards achieving universal health coverage (UHC) across the globe
M_30,M_30_ai_digital_transformation,AI / digital transformation,I am announcing today that we are developing a new AI defence partnership with the United States to protect our critical national infrastructure
M_30,M_30_peace_and_security,Peace and security,"we stand with Ukraine, stronger than ever for as long as it takes"
M_30,M_30_climate_change,Climate change,"The climate crisis is now a national security threat for countries around the world as this summer of extreme heat, wildfires and floods has proved"
M_30,M_30_inequality,Inequality,"When inequalities grow too wide, our societies are at greater risk"
M_31,M_31_peace_and_security,Peace and security,Russia's ongoing war of aggression against Ukraine is a direct assault on those rules.
M_31,M_31_migration,Migration,"The same principle applies to illegal migration, which has caused mistrust in Europe and altered the political landscape in many countries."
M_31,M_31_climate_change,Climate change,Climate action should be used to strengthen energy security and social cohesion.
M_31,M_31_ai_digital_transformation,AI / digital transformation,"Artificial intelligence can accelerate development, but its use must remain consistent with legal frameworks, human dignity, and democratic accountability."
M_31,M_31_development_sdgs,Development / SDGs,"As 2030 approaches, accelerating implementation of the Sustainable Development Goals continues to be a central priority."
M_31,M_31_financing_debt,Financing / debt,"Last year alone, the world's official development assistance was reduced by almost 25% (23.1%)."
