id_speech,id_extract,emerging_topic,textual_extract
M_40,M_40_ai_digital_transformation,AI / digital transformation,"We propose also the establishment of a global charter for digital governance and ethical, artificial intelligence."
M_40,M_40_inequality,Inequality,It is unacceptable that poverty is worsening in Africa while wealth is accumulating in the northern countries.
M_41,M_41_peace_and_security,Peace and security,The Palestinian tragedy is perhaps the most shocking demonstration of this...rightly qualified as a genocide by many experts.
M_41,M_41_climate_change,Climate change,"Rising seas, coastal erosion and the increased frequency of cyclones are posing a threat to our villages, our ecosystems and our lives."
M_41,M_41_financing_debt,Financing / debt,We advocate for reform of the international financial architecture...the increasing debt of developing countries.
M_41,M_41_human_rights,Human rights,"I strongly condemn and denounce any project to install a military base in Mayotte, a Comorian island which unfortunately is still under French administration."
M_41,M_41_development_sdgs,Development / SDGs,"The Sustainable Development Goals were supposed to eradicate poverty, protect the planet and provide everyone with peace and prosperity."
M_42,M_42_peace_and_security,Peace and security,Global military spending today has reached record levels...disarmament treaties have been called into question.
M_42,M_42_climate_change,Climate change,"The climate is a very, very big challenge today...it is exacerbating conflicts, destroying cultures that have been around for millennia."
M_42,M_42_development_sdgs,Development / SDGs,We must honor our commitments for the financing of the Sustainable Development goals.
M_42,M_42_financing_debt,Financing / debt,"Put an end to the machinery that strangles vulnerable economies, such as unsustainable debt or unfair trade rules."
M_42,M_42_ai_digital_transformation,AI / digital transformation,"We need to invest massively in education, in health, agriculture, infrastructure, new technologies, artificial intelligence."
M_43,M_43_peace_and_security,Peace and security,the risk of nuclear conflict is the highest it has been in decades
M_43,M_43_human_rights,Human rights,we could have prevented the repeated and systematic violations of human rights
M_43,M_43_migration,Migration,criminal networks transform migration routes into illicit corridors
M_43,M_43_climate_change,Climate change,The triple planetary crisis is another of the greatest existential threats of our time
M_43,M_43_ai_digital_transformation,AI / digital transformation,Artificial intelligence also poses risks to international peace and security
M_43,M_43_food_security,Food security,"A temperature increase of only 1.1 degrees Celsius already puts food security, health and peace at risk"
M_44,M_44_peace_and_security,Peace and security,Armed conflicts are more numerous than at any time since the Second World War
M_44,M_44_human_rights,Human rights,strict respect for international humanitarian law must remain the moral core of multilateralism
M_44,M_44_climate_change,Climate change,"COP30 in Belem must raise ambition, advance fossil fuel transition, and scale up climate finance"
M_44,M_44_global_health,Global health,Croatia endorses the One Health approach... We welcome adoption of the Pandemic Agreement
M_44,M_44_development_sdgs,Development / SDGs,"As we mark the 10th anniversary of the General Assembly's resolution on the 2030 Agenda, Croatia reaffirms its commitment to the SDGs"
M_44,M_44_technology_digital_divide,Technology / digital divide,"Emerging technologies are reshaping every aspect of society... Artificial intelligence, cyber capabilities, space technologies, robotics"
M_45,M_45_peace_and_security,Peace and security,"the rise of use of force against sovereign states that constantly escalate and expand, threatening regional security and stability"
M_45,M_45_ai_digital_transformation,AI / digital transformation,"the uncontrolled expansion of technology and AI, threatening our security and the well-being of our children"
M_45,M_45_climate_change,Climate change,"climate change is looming, threatening livelihoods, economies, creating new migration routes"
M_45,M_45_migration,Migration,"climate change... creating new migration routes, and inequalities are becoming embedded"
M_45,M_45_human_rights,Human rights,"we condemn the use of force against the sovereign nation, the killing of civilians, the forced disappearance of children"
M_46,M_46_peace_and_security,Peace and security,Russia's invasion of Ukraine has significantly transformed the global security landscape.
M_46,M_46_climate_change,Climate change,from security threats and climate change to the rapid evolution of new technologies.
M_46,M_46_development_sdgs,Development / SDGs,much work still lies ahead if we are to achieve the Sustainable Development Goals 2030.
M_47,M_47_peace_and_security,Peace and security,the multi-dimensional crisis in Haiti represents a serious threat to peace and security.
M_47,M_47_financing_debt,Financing / debt,"We need to see genuine transformation, a new international financial compact with access to concessional finance, debt relief."
M_47,M_47_climate_change,Climate change,"the triple planetary crisis, that is climate change, biodiversity loss and environmental pollution is an existential threat."
M_47,M_47_development_sdgs,Development / SDGs,"we stand barely five years from 2030, and yet the sustainable development goals remain behind schedule."
M_47,M_47_migration,Migration,the Dominican Republic will continue to protect its territorial integrity and to enforce its national migration regime.
M_48,M_48_peace_and_security,Peace and security,Russia's war of aggression against Ukraine constitutes one of the gravest breaches of international law and the UN Charter.
M_48,M_48_human_rights,Human rights,human rights and fundamental freedoms are increasingly under pressure worldwide.
M_48,M_48_climate_change,Climate change,We must work together to triple renewable energy production by 2030.
M_48,M_48_ai_digital_transformation,AI / digital transformation,Estonia is making a new Leap – the Artificial Intelligence Leap.
M_48,M_48_technology_digital_divide,Technology / digital divide,safeguarding digital rights and reducing the digital divide.
M_49,M_49_peace_and_security,Peace and security,Russia has no right to continue its aggression against Ukraine. Israel has no right to violate international law in Palestine.
M_49,M_49_human_rights,Human rights,An immediate ceasefire is needed in Gaza. Humanitarian aid must be granted safe and unhindered access.
M_49,M_49_climate_change,Climate change,
M_49,M_49_development_sdgs,Development / SDGs,the measures to deal with climate change and sustainable development are lagging behind.
M_50,M_50_migration,Migration,We are strengthening our capacity to be able to address the needs of the thousands of migrants who transit our territory.
M_50,M_50_climate_change,Climate change,climate change is the greatest existential threat facing humanity.
M_50,M_50_peace_and_security,Peace and security,"We must put an end to the invasion of Ukraine and end to the war in Sudan, a total end to the suffering and death of the civilians in Gaza."
M_50,M_50_human_rights,Human rights,we have reopened our doors to the monitoring mechanisms of the United Nations human rights protection system.
M_50,M_50_financing_debt,Financing / debt,"As President Macron acknowledged, making Haiti pay for its independence was unjust."
M_51,M_51_peace_and_security,Peace and security,"Genocide in Palestine, annexation of Ukrainian territory... humanitarian catastrophe in Sudan, brutal gang violence in Haiti."
M_51,M_51_climate_change,Climate change,"Peace, stability, and sustainable development cannot exist in isolation from the urgent need to address climate change."
M_51,M_51_ai_digital_transformation,AI / digital transformation,"We recognize the indispensable nature of AI in our collective future... Regulations, ethical standards and governance mechanisms are urgently needed."
M_51,M_51_food_security,Food security,Guyana is actively leading efforts to advance the CARICOM Agri-food Systems Agenda through Vision 2030.
M_51,M_51_financing_debt,Financing / debt,"Guyana calls for renewed global commitment to financing for development, including fulfilling Official Development Assistance pledges... and addressing the crippling debt burdens."
M_51,M_51_development_sdgs,Development / SDGs,This year marks the 10th anniversary of the Sustainable Development Goals. Yet the slow pace of implementation and regression in many areas sound a stark warning.
M_51,M_51_migration,Migration,"We support efforts by the international community in addressing these crimes that are destroying the lives of our people, especially young people (drug/human trafficking, illegal migration)."
M_52,M_52_peace_and_security,Peace and security,Hungary has been living for more than three and a half years now in the neighborhood of the war in Ukraine.
M_52,M_52_migration,Migration,"We have closed our border. We have built a fence, not a wall, but a fence."
M_52,M_52_development_sdgs,Development / SDGs,"5% of GDP we spend on supporting the families, which is far number one in the OECD area."
M_53,M_53_peace_and_security,Peace and security,"The genocide in Gaza, the destruction of homes and repeated violations of sovereignty and territorial integrity in Lebanon."
M_53,M_53_human_rights,Human rights,"Systematic targeting of journalists and media personnel, and killing individuals who are labeled as 'military targets' solely due to their knowledge and expertise."
M_53,M_53_food_security,Food security,The forced starvation of frail children in their mothers' arms.
M_54,M_54_peace_and_security,Peace and security,"There are currently 56 armed conflicts ongoing in the world, the highest number since the Second World War."
M_54,M_54_migration,Migration,"I am thinking, for example, of conventions regulating migration and asylum... conventions that are no longer current."
M_54,M_54_financing_debt,Financing / debt,Italy plans to convert over the next 10 years the entire amount of debt for the economically least developed nations.
M_54,M_54_climate_change,Climate change,"This is not, of course, about denying climate change, but about affirming reason, which, above all, means technological neutrality and gradual reforms instead of ideological extremism."
M_54,M_54_ai_digital_transformation,AI / digital transformation,"The opening of the AI hub for sustainable development, involving hundreds of African startups in the development of artificial intelligence."
M_55,M_55_peace_and_security,Peace and security,"Conflict rages in Eastern Europe, the Middle East, the Sahel, the Horn of Africa, and beyond."
M_55,M_55_human_rights,Human rights,Kenya is gravely concerned by the humanitarian catastrophe in Gaza.
M_55,M_55_climate_change,Climate change,Current Nationally Determined Contributions are steering us towards temperature rises far beyond any safe threshold.
M_55,M_55_financing_debt,Financing / debt,The current global financial architecture punishes poor countries while rewarding the rich.
M_55,M_55_development_sdgs,Development / SDGs,The UN’s Sustainable Development Goals remain a shared blueprint for human progress.
M_55,M_55_global_health,Global health,"It coordinated global responses to HIV/Aids, Ebola, and Covid19, and continues to champion universal vaccination."
M_56,M_56_climate_change,Climate change,We urge global action to limit warming to 1.5°C and support frontline states through the Loss and Damage Fund.
M_56,M_56_development_sdgs,Development / SDGs,"Kiribati is committed to the SDGs, emphasizing SIDS' unique circumstances."
M_56,M_56_food_security,Food security,"Kiribati's ocean is vital for its identity, economy, and food security."
M_56,M_56_financing_debt,Financing / debt,Equitable and predictable development financing is vital for Kiribati’s future.
M_56,M_56_peace_and_security,Peace and security,Kiribati fully supports the United Nations’ push for a world free of nuclear weapons.
M_56,M_56_technology_digital_divide,Technology / digital divide,We aim for resilient prosperity through technological and digital solutions.
M_57,M_57_peace_and_security,Peace and security,The brutal Israeli aggression against Qatar... an attack against a mediator working faithfully for the sake of peace.
M_57,M_57_human_rights,Human rights,The collective punishment and killing of tens of thousands of Palestinians... only an unfolding of genocide before our eyes.
M_57,M_57_development_sdgs,Development / SDGs,We work to achieve the sustainable development goals... to leave no one behind.
M_57,M_57_migration,Migration,Kuwait reiterates its firm commitment to support UNRWA because of its critical role in securing the basic needs of millions of Palestinian refugees.
M_58,M_58_peace_and_security,Peace and security,"Ukraine is fighting back, bravely... for the rules based international order."
M_58,M_58_human_rights,Human rights,We will be advocates for Ukrainian children abducted by Russia. They must be returned.
M_58,M_58_ai_digital_transformation,AI / digital transformation,We share the United Nations' view that we need to develop artificial intelligence responsibly.
M_58,M_58_climate_change,Climate change,"Emerging threats like climate change, cyber attacks, hybrid attacks... are testing us on a daily basis."
M_59,M_59_climate_change,Climate change,"Cyclones have become increasingly frequent, coming one after another and they're more and more devastating."
M_59,M_59_development_sdgs,Development / SDGs,"Developing our country through the promotion of industrialization, producing and processing locally everything that our people need."
M_59,M_59_financing_debt,Financing / debt,"So a Goa, that's not only a simple trade law. It is faces, lives, entire communities that are fighting every day for their dignity."
M_59,M_59_food_security,Food security,Our goal is to double or even triple agricultural yields... so as to achieve food sufficiency.
M_59,M_59_global_health,Global health,"There are also wars against pandemics, like against COVID-19, which we faced together."
M_60,M_60_climate_change,Climate change,My low-lying atoll nation bears witness to the sharpest edge of climate change.
M_60,M_60_financing_debt,Financing / debt,"We must close the trillion dollar climate finance gap, particularly for adaptation."
M_60,M_60_global_health,Global health,We face one of the world's highest burdens of non-communicable disease.
M_60,M_60_peace_and_security,Peace and security,"Russian aggression in Ukraine has lacked any basis in international law, and has pushed the world deeper into global tension."
M_60,M_60_human_rights,Human rights,"Our communities seek justice, a clean environment and safe return to their homes."
M_61,M_61_climate_change,Climate change,"The fight against climate change is a responsibility, a historic responsibility, acceleration of extreme events, requires credible, immediate, financed responses."
M_61,M_61_peace_and_security,Peace and security,Monaco firmly condemns the war of aggression targeting Ukraine and the suffering this has inflicted upon civilian populations.
M_61,M_61_global_health,Global health,Noncommunicable diseases are the main cause of premature deaths and there's a need for cross-sectoral mobilization to address this challenge.
M_61,M_61_human_rights,Human rights,"The alarming setbacks in human rights, freedom, the repression of freedom, civil society, excessive use of force."
M_62,M_62_climate_change,Climate change,"Namibia's bid to host the African Regional Hub of the Green Climate Fund; severe droughts, floods, and other calamities brought about by climate change."
M_62,M_62_ai_digital_transformation,AI / digital transformation,Artificial Intelligence must not be a substitute for human judgment or responsibility; we call for global standards that ensure AI usage remains transparent and fair.
M_62,M_62_peace_and_security,Peace and security,"SADC committed to promoting peace, security and stability in the Eastern DRC; UN Commission of Inquiry finds genocide against Palestinian people."
M_62,M_62_financing_debt,Financing / debt,A global liquidity crisis threatens to plunge millions of people into poverty and insecurity.
M_62,M_62_human_rights,Human rights,Unilateral coercive measures... violate the Charter; call for an end to illegal embargo on Cuba and sanctions on Zimbabwe and Venezuela.
M_63,M_63_peace_and_security,Peace and security,Nigeria's soldiers and civilians have participated in 51 out of 60 UN peacekeeping operations since independence.
M_63,M_63_financing_debt,Financing / debt,We need urgent action to promote sovereign debt relief and access to trade and financing; calling for a new binding mechanism to manage sovereign debt.
M_63,M_63_inequality,Inequality,"Countries that host minerals must benefit from those minerals; when we export raw materials, tension, inequality and instability fester."
M_63,M_63_technology_digital_divide,Technology / digital divide,The digital divide must close. As the Secretary General has said: 'A.I.' must stand for 'Africa Included'.
M_63,M_63_climate_change,Climate change,"Climate change is about national, regional, and international security... it is about irregular migration."
M_63,M_63_development_sdgs,Development / SDGs,We remain fully committed to the achievement of SDGs – and are convinced this can be best delivered by focusing principally on our primary mission of growth and prosperity.
M_64,M_64_peace_and_security,Peace and security,"Neutrality is the best formula to safeguard the security of our canal, a global public good."
M_64,M_64_climate_change,Climate change,Panama has put forward its Nature Pledge which is our Pact with Nature... pledging to curb its emissions by 2035.
M_64,M_64_migration,Migration,For years millions of people have been passing through our Darien region... in just one year in office we reduced the flow of migrants heading north to zero.
M_64,M_64_development_sdgs,Development / SDGs,The United Nations is also facing a challenge of promoting urgent action to achieve the sustainable development goals.
M_64,M_64_other,Other,Today it poses a threat to human lives and a grave risk of instability throughout the entire region due to the different cartels operating there.
M_65,M_65_peace_and_security,Peace and security,more than 120 armed conflicts show just how serious the failure of our institutions can be.
M_65,M_65_human_rights,Human rights,Systematic violations of human rights and fundamental freedoms are being compounded by actions that are contrary to international law and the persecution of political leaders.
M_65,M_65_migration,Migration,Seven million Venezuelans have left their homeland. This is the largest migratory crisis in the history of the Western Hemisphere.
M_65,M_65_financing_debt,Financing / debt,in July last year Paraguay achieved investment grade for the first time in its history.
M_65,M_65_inequality,Inequality,"118,000 people emerged from poverty in a single year. Extreme poverty fell to 4.1%, which is the lowest level in our modern history."
M_65,M_65_other,Other,Taiwan deserves a place in this forum... Its exclusion from the UN system is an affront which undermines the legitimacy of our institutions.
M_66,M_66_peace_and_security,Peace and security,"Africa remains confronted with armed conflict, terrorism particularly in the Sahel, and cross border crime and political instability."
M_66,M_66_human_rights,Human rights,progress has also been made in the codification of universal norms for the protection of human rights and to create a safer and more peaceful international order.
M_66,M_66_climate_change,Climate change,Global heating also deserves our attention. It's not simply a threat but it is an existential question.
M_66,M_66_financing_debt,Financing / debt,an equitable global fiscal framework so that taxes are paid in the place where wealth is produced. Access to credit on sustainable terms so that debt burdens don't hinder development efforts.
M_66,M_66_development_sdgs,Development / SDGs,"the effective implementation of the civil commitment, the pact for the future and the sustainable development goals to ensure better access to healthcare, water, food, education, energy and the digital technologies."
M_67,M_67_peace_and_security,Peace and security,"The world is facing its deadliest surge in violence since World War II. In 2024, 61 armed conflicts erupted across 36 countries."
M_67,M_67_climate_change,Climate change,"Climate change is not just a statistic for Serbia and the Balkans – it is a lived reality, marked by droughts, floods and energy insecurity."
M_67,M_67_technology_digital_divide,Technology / digital divide,"The proliferation of misinformation, particularly via digital platforms, has fuelled distrust between countries."
M_67,M_67_financing_debt,Financing / debt,"Progress on global challenges is uneven: financing is dwindling, the UN budget is constrained."
M_67,M_67_human_rights,Human rights,"Day in and day out, they are denied basic human rights: the right to life, freedom of movement, the right to education and health protection."
M_68,M_68_peace_and_security,Peace and security,Ceasefire now in Gaza! Ceasefire now in Sudan! Ceasefire now in Ukraine!
M_68,M_68_climate_change,Climate change,"Climate change is an existential threat to Sierra Leone. Our Greenhouse Gas emissions are negligible, yet our people and our wide coast bear the costs."
M_68,M_68_development_sdgs,Development / SDGs,"Our Medium-Term National Development Plan, aligned with the SDGs and the African Union's Agenda 2063, prioritises people-centred growth."
M_68,M_68_food_security,Food security,We are transforming our agricultural sector to ensure food security.
M_68,M_68_financing_debt,Financing / debt,"Developed nations must honour their commitments: $100 billion per year in climate finance, technology transfer, and capacity building."
M_68,M_68_global_health,Global health,"deepening investments in human capital development through Free Quality Education, and in healthcare, particularly maternal and child health."
M_69,M_69_peace_and_security,Peace and security,The war in Ukraine reminds us daily how fragile peace is when the UN Charter is disregarded and international law is ignored.
M_69,M_69_ai_digital_transformation,AI / digital transformation,"Slovakia has been an active voice in both global climate debates and discussions on the artificial intelligence... hosting all the actors at the Summit on Education and AI in our capital, Bratislava."
M_69,M_69_climate_change,Climate change,The triple planetary crisis and quick progress in artificial intelligence are moving far faster than we are able to react.
M_70,M_70_peace_and_security,Peace and security,"We see this in Europe, in Ukraine, where war has been unleashed by Russia's unprovoked and unjustifiable aggression."
M_70,M_70_human_rights,Human rights,"We cannot remain silent or look away from the devastation, the bombings, including of hospitals, schools, and places of refuge in Gaza."
M_70,M_70_development_sdgs,Development / SDGs,The current funding shortfall for sustainable development exceeds $4 trillion per year.
M_70,M_70_climate_change,Climate change,"Spain calls for consensus and ambition ahead of COP30, which will be held in Brazil this November."
M_70,M_70_ai_digital_transformation,AI / digital transformation,Managing the impact of the transformative revolution known as artificial intelligence.
M_70,M_70_global_health,Global health,"We welcome here the consensus reached on the pandemic agreement, strengthening the World Health Organization."
M_70,M_70_migration,Migration,We fully support the implementation of the global compact on migration and the global compact on refugees.
M_71,M_71_development_sdgs,Development / SDGs,This Assembly must pay special attention to eradicate extreme poverty.
M_71,M_71_financing_debt,Financing / debt,"Low income countries allocate twice as much towards debt servicing, than on education or healthcare."
M_71,M_71_human_rights,Human rights,Extremist and racist ideas are as deadly as epidemics; we must awaken our conscience to oppose racism and religious extremism.
M_71,M_71_peace_and_security,Peace and security,"We are deeply distressed by the ongoing catastrophe in Gaza, which has been turned into an open-air prison."
M_71,M_71_ai_digital_transformation,AI / digital transformation,I present to this Assembly a proposal to set up a neutral sovereign 'Artificial Intelligence Zone' in Sri Lanka.
M_71,M_71_technology_digital_divide,Technology / digital divide,The digital divide between States is stark. An even greater gap is being created in relation to artificial intelligence.
M_71,M_71_other,Other,"Drugs, and organised crimes linked to drugs have become a serious concern to the world."
M_71,M_71_inequality,Inequality,I propose to you that the time has come for us to accept inequality and poverty as a global catastrophe.
M_72,M_72_peace_and_security,Peace and security,A just lasting peace in the Middle East and Ukraine still seems beyond reach.
M_72,M_72_financing_debt,Financing / debt,"As finance minister, I would also add for global financial stability."
M_72,M_72_development_sdgs,Development / SDGs,"Last year, we together adopted the PACT for the Future, essential pillar of the 2030 Agenda for Sustainable Development."
M_72,M_72_migration,Migration,"The United Nations, international organizations essential for resolution of challenges, including migration, climate change, the digital transition."
M_72,M_72_climate_change,Climate change,"Challenges, including migration, climate change, the digital transition."
M_73,M_73_peace_and_security,Peace and security,Israeli threats against our country have not ceased since December 8 until today.
M_73,M_73_human_rights,Human rights,Our unprotected people were targeted with chemical weapons in more than 200 documented attacks.
M_73,M_73_financing_debt,Financing / debt,"We call now for the complete lifting of these sanctions, so they no longer shackle the Syrian people."
M_73,M_73_migration,Migration,We paved the way for the return of refugees to their homes.
M_73,M_73_development_sdgs,Development / SDGs,"major regional and international companies have already begun entering the Syrian market, contributing through investment and reconstruction."
M_74,M_74_peace_and_security,Peace and security,"As Russia's war against my country goes on, people are still dying every week."
M_74,M_74_ai_digital_transformation,AI / digital transformation,"We need global rules now for how AI can be used in weapons, and this is just as urgent as preventing the spread of nuclear weapons."
M_74,M_74_technology_digital_divide,Technology / digital divide,"weapons are evolving faster than our ability to defend ourselves... fully autonomous and no human involved, except the few who control AI systems."
M_74,M_74_human_rights,Human rights,"Russia abducted thousands of Ukrainian children, and we have brought some of them back."
M_74,M_74_food_security,Food security,chemical weapons and famine used as a weapon.
