country,iso_country,region,sub_region,security_council,g20_member,other_relevant_countries _gwl
Bulgaria,BGR,Europe,Eastern Europe,Not member,Not member,-
Burkina Faso,BFA,Africa,Southern Africa,Not member,Not member,-
Burundi,BDI,Africa,Eastern Africa,Not member,Not member,-
Cabo Verde,CPV,Africa,Southern Africa,Not member,Not member,-
Cambodia,KHM,Asia,South-eastern Asia,Not member,Not member,-
Cameroon,CMR,Africa,Middle Africa,Not member,Not member,-
Canada,CAN,Latin America and the Caribbean,Northern America,Not member,Member,-
Cayman Islands,CYM,Latin America and the Caribbean,Caribbean,Not member,Not member,-
Central African Republic,CAF,Africa,Middle Africa,Not member,Not member,-
Chad,TCD,Africa,Middle Africa,Not member,Not member,-
Chile,CHL,Latin America and the Caribbean,South America,Not member,Not member,-
China,CHN,Asia,Eastern Asia,Permanent member,Member,-
"China, Hong Kong Special Administrative Region",HKG,Asia,Eastern Asia,Not member,Not member,-
"China, Macao Special Administrative Region",MAC,Asia,Eastern Asia,Not member,Not member,-
Christmas Island,CXR,Oceania,Australia and New Zealand,Not member,Not member,-
Cocos (Keeling) Islands,CCK,Oceania,Australia and New Zealand,Not member,Not member,-
Colombia,COL,Latin America and the Caribbean,South America,Non-permanent member,Not member,-
Comoros,COM,Africa,Eastern Africa,Not member,Not member,-
Congo,COG,Africa,Middle Africa,Not member,Not member,-
Cook Islands,COK,Oceania,Polynesia,Not member,Not member,-
Costa Rica,CRI,Latin America and the Caribbean,Central America,Not member,Not member,-
Côte d’Ivoire,CIV,Africa,Southern Africa,Not member,Not member,-
Croatia,HRV,Europe,Southern Europe,Not member,Not member,-
Cuba,CUB,Latin America and the Caribbean,Caribbean,Not member,Not member,-
Curaçao,CUW,Latin America and the Caribbean,Caribbean,Not member,Not member,-
Cyprus,CYP,Asia,Western Asia,Not member,Not member,-
Czechia,CZE,Europe,Eastern Europe,Not member,Not member,-
Democratic People's Republic of Korea,PRK,Asia,Eastern Asia,Not member,Member,-
Democratic Republic of the Congo,COD,Africa,Middle Africa,Non-permanent member,Not member,-
Denmark,DNK,Europe,Northern Europe,Non-permanent member,Not member,-
Djibouti,DJI,Africa,Eastern Africa,Not member,Not member,-
Dominica,DMA,Latin America and the Caribbean,Caribbean,Not member,Not member,-
Dominican Republic,DOM,Latin America and the Caribbean,Caribbean,Not member,Not member,-
Ecuador,ECU,Latin America and the Caribbean,South America,Not member,Not member,-
Egypt,EGY,Africa,Northern Africa,Not member,Not member,Relevant
El Salvador,SLV,Latin America and the Caribbean,Central America,Not member,Not member,-
Equatorial Guinea,GNQ,Africa,Middle Africa,Not member,Not member,-
Eritrea,ERI,Africa,Eastern Africa,Not member,Not member,-
Estonia,EST,Europe,Northern Europe,Not member,Not member,-
Eswatini,SWZ,Africa,Southern Africa,Not member,Not member,-
Ethiopia,ETH,Africa,Eastern Africa,Not member,Not member,Relevant
Falkland Islands (Malvinas),FLK,Latin America and the Caribbean,South America,Not member,Not member,-
Faroe Islands,FRO,Europe,Northern Europe,Not member,Not member,-
Fiji,FJI,Oceania,Melanesia,Not member,Not member,-
Finland,FIN,Europe,Northern Europe,Not member,Not member,-
France,FRA,Europe,Western Europe,Permanent member,Member,-
French Guiana,GUF,Latin America and the Caribbean,South America,Not member,Not member,-
French Polynesia,PYF,Oceania,Polynesia,Not member,Not member,-
French Southern Territories,ATF,Africa,Eastern Africa,Not member,Not member,-
Gabon,GAB,Africa,Middle Africa,Not member,Not member,-
Gambia,GMB,Africa,Southern Africa,Not member,Not member,-
Georgia,GEO,Asia,Western Asia,Not member,Not member,-
Germany,DEU,Europe,Western Europe,Not member,Member,-
Ghana,GHA,Africa,Southern Africa,Not member,Not member,-
Gibraltar,GIB,Europe,Southern Europe,Not member,Not member,-
Greece,GRC,Europe,Southern Europe,Non-permanent member,Not member,-
Greenland,GRL,Latin America and the Caribbean,Northern America,Not member,Not member,-
Grenada,GRD,Latin America and the Caribbean,Caribbean,Not member,Not member,-
Guadeloupe,GLP,Latin America and the Caribbean,Caribbean,Not member,Not member,-
Guam,GUM,Oceania,Micronesia,Not member,Not member,-
Guatemala,GTM,Latin America and the Caribbean,Central America,Not member,Not member,-
Guernsey,GGY,Europe,Northern Europe,Not member,Not member,-
Guinea,GIN,Africa,Southern Africa,Not member,Not member,-
Guinea-Bissau,GNB,Africa,Southern Africa,Not member,Not member,-
Guyana,GUY,Latin America and the Caribbean,South America,Not member,Not member,-
Haiti,HTI,Latin America and the Caribbean,Caribbean,Not member,Not member,-
Heard Island and McDonald Islands,HMD,Oceania,Australia and New Zealand,Not member,Not member,-
Holy See,VAT,Europe,Southern Europe,Not member,Not member,-
Honduras,HND,Latin America and the Caribbean,Central America,Not member,Not member,-
Hungary,HUN,Europe,Eastern Europe,Not member,Not member,-
Iceland,ISL,Europe,Northern Europe,Not member,Not member,-
India,IND,Asia,Southern Asia,Not member,Member,-
Indonesia,IDN,Asia,South-eastern Asia,Not member,Member,-
Iran (Islamic Republic of),IRN,Asia,Southern Asia,Not member,Not member,-
Iraq,IRQ,Asia,Western Asia,Not member,Not member,-
Ireland,IRL,Europe,Northern Europe,Not member,Not member,-
Isle of Man,IMN,Europe,Northern Europe,Not member,Not member,-
Israel,ISR,Asia,Western Asia,Not member,Not member,-
Italy,ITA,Europe,Southern Europe,Not member,Member,-
Jamaica,JAM,Latin America and the Caribbean,Caribbean,Not member,Not member,-
Japan,JPN,Asia,Eastern Asia,Not member,Member,-
Jersey,JEY,Europe,Northern Europe,Not member,Not member,-
Jordan,JOR,Asia,Western Asia,Not member,Not member,-
Kazakhstan,KAZ,Asia,Central Asia,Not member,Not member,-
Kenya,KEN,Africa,Eastern Africa,Not member,Not member,Relevant
Kiribati,KIR,Oceania,Micronesia,Not member,Not member,-
Kuwait,KWT,Asia,Western Asia,Not member,Not member,-
Kyrgyzstan,KGZ,Asia,Central Asia,Not member,Not member,-
Lao People's Democratic Republic,LAO,Asia,South-eastern Asia,Not member,Not member,-
Latvia,LVA,Europe,Northern Europe,Non-permanent member,Not member,-
Lebanon,LBN,Asia,Western Asia,Not member,Not member,-
Lesotho,LSO,Africa,Southern Africa,Not member,Not member,-
Liberia,LBR,Africa,Southern Africa,Non-permanent member,Not member,-
Libya,LBY,Africa,Northern Africa,Not member,Not member,-
Liechtenstein,LIE,Europe,Western Europe,Not member,Not member,-
Lithuania,LTU,Europe,Northern Europe,Not member,Not member,-
Luxembourg,LUX,Europe,Western Europe,Not member,Not member,-
Madagascar,MDG,Africa,Eastern Africa,Not member,Not member,-
Malawi,MWI,Africa,Eastern Africa,Not member,Not member,-
Malaysia,MYS,Asia,South-eastern Asia,Not member,Not member,-
Maldives,MDV,Asia,Southern Asia,Not member,Not member,-
Mali,MLI,Africa,Southern Africa,Not member,Not member,-
Malta,MLT,Europe,Southern Europe,Not member,Not member,-
Marshall Islands,MHL,Oceania,Micronesia,Not member,Not member,-
Martinique,MTQ,Latin America and the Caribbean,Caribbean,Not member,Not member,-
Mauritania,MRT,Africa,Southern Africa,Not member,Not member,-
Mauritius,MUS,Africa,Eastern Africa,Not member,Not member,-
Mayotte,MYT,Africa,Eastern Africa,Not member,Not member,-
Mexico,MEX,Latin America and the Caribbean,Central America,Not member,Member,-
Micronesia (Federated States of),FSM,Oceania,Micronesia,Not member,Not member,-
Monaco,MCO,Europe,Western Europe,Not member,Not member,-
Mongolia,MNG,Asia,Eastern Asia,Not member,Not member,-
Montenegro,MNE,Europe,Southern Europe,Not member,Not member,-
Montserrat,MSR,Latin America and the Caribbean,Caribbean,Not member,Not member,-
Morocco,MAR,Africa,Northern Africa,Not member,Not member,-
Mozambique,MOZ,Africa,Eastern Africa,Not member,Not member,-
Myanmar,MMR,Asia,South-eastern Asia,Not member,Not member,-
Namibia,NAM,Africa,Southern Africa,Not member,Not member,Relevant
Naoero,NRU,Oceania,Micronesia,Not member,Not member,-
Nepal,NPL,Asia,Southern Asia,Not member,Not member,-
Netherlands (Kingdom of the),NLD,Europe,Western Europe,Not member,Not member,-
New Caledonia,NCL,Oceania,Melanesia,Not member,Not member,-
New Zealand,NZL,Oceania,Australia and New Zealand,Not member,Not member,-
Nicaragua,NIC,Latin America and the Caribbean,Central America,Not member,Not member,-
Niger,NER,Africa,Southern Africa,Not member,Not member,-
Nigeria,NGA,Africa,Southern Africa,Not member,Not member,-
Niue,NIU,Oceania,Polynesia,Not member,Not member,-
Norfolk Island,NFK,Oceania,Australia and New Zealand,Not member,Not member,-
North Macedonia,MKD,Europe,Southern Europe,Not member,Not member,-
Northern Mariana Islands,MNP,Oceania,Micronesia,Not member,Not member,-
Norway,NOR,Europe,Northern Europe,Not member,Not member,Relevant
Oman,OMN,Asia,Western Asia,Not member,Not member,-
Pakistan,PAK,Asia,Southern Asia,Non-permanent member,Not member,-
Palau,PLW,Oceania,Micronesia,Not member,Not member,-
Panama,PAN,Latin America and the Caribbean,Central America,Non-permanent member,Not member,-
Papua New Guinea,PNG,Oceania,Melanesia,Not member,Not member,-
Paraguay,PRY,Latin America and the Caribbean,South America,Not member,Not member,-
Peru,PER,Latin America and the Caribbean,South America,Not member,Not member,-
Philippines,PHL,Asia,South-eastern Asia,Not member,Not member,-
Pitcairn,PCN,Oceania,Polynesia,Not member,Not member,-
Poland,POL,Europe,Eastern Europe,Not member,Member,Relevant
Portugal,PRT,Europe,Southern Europe,Not member,Not member,-
Puerto Rico,PRI,Latin America and the Caribbean,Caribbean,Not member,Not member,-
Qatar,QAT,Asia,Western Asia,Not member,Not member,-
Republic of Korea,KOR,Asia,Eastern Asia,Not member,Not member,-
Republic of Moldova,MDA,Europe,Eastern Europe,Not member,Not member,-
Réunion,REU,Africa,Eastern Africa,Not member,Not member,-
Romania,ROU,Europe,Eastern Europe,Not member,Not member,-
Russian Federation,RUS,Europe,Eastern Europe,Permanent member,Member,-
Rwanda,RWA,Africa,Eastern Africa,Not member,Not member,-
Saint Barthélemy,BLM,Latin America and the Caribbean,Caribbean,Not member,Not member,-
Saint Helena,SHN,Africa,Southern Africa,Not member,Not member,-
Saint Kitts and Nevis,KNA,Latin America and the Caribbean,Caribbean,Not member,Not member,-
Saint Lucia,LCA,Latin America and the Caribbean,Caribbean,Not member,Not member,-
Saint Martin (French Part),MAF,Latin America and the Caribbean,Caribbean,Not member,Not member,-
Saint Pierre and Miquelon,SPM,Latin America and the Caribbean,Northern America,Not member,Not member,-
Saint Vincent and the Grenadines,VCT,Latin America and the Caribbean,Caribbean,Not member,Not member,-
Samoa,WSM,Oceania,Polynesia,Not member,Not member,-
San Marino,SMR,Europe,Southern Europe,Not member,Not member,-
Sao Tome and Principe,STP,Africa,Middle Africa,Not member,Not member,-
Saudi Arabia,SAU,Asia,Western Asia,Not member,Member,-
Senegal,SEN,Africa,Southern Africa,Not member,Not member,-
Serbia,SRB,Europe,Southern Europe,Not member,Not member,-
Seychelles,SYC,Africa,Eastern Africa,Not member,Not member,-
Sierra Leone,SLE,Africa,Southern Africa,Not member,Not member,-
Singapore,SGP,Asia,South-eastern Asia,Not member,Not member,Relevant
Sint Maarten (Dutch part),SXM,Latin America and the Caribbean,Caribbean,Not member,Not member,-
Slovakia,SVK,Europe,Eastern Europe,Not member,Not member,-
Slovenia,SVN,Europe,Southern Europe,Not member,Not member,-
Solomon Islands,SLB,Oceania,Melanesia,Not member,Not member,-
Somalia,SOM,Africa,Eastern Africa,Non-permanent member,Not member,-
South Africa,ZAF,Africa,Southern Africa,Not member,Not member,-
South Georgia and the South Sandwich Islands,SGS,Latin America and the Caribbean,South America,Not member,Not member,-
South Sudan,SSD,Africa,Eastern Africa,Not member,Not member,-
Spain,ESP,Europe,Southern Europe,Not member,Not member,Relevant
Sri Lanka,LKA,Asia,Southern Asia,Not member,Not member,-
State of Palestine,PSE,Asia,Western Asia,Not member,Not member,-
Sudan,SDN,Africa,Northern Africa,Not member,Not member,-
Suriname,SUR,Latin America and the Caribbean,South America,Not member,Not member,-
Svalbard and Jan Mayen Islands,SJM,Europe,Northern Europe,Not member,Not member,-
Sweden,SWE,Europe,Northern Europe,Not member,Not member,-
Switzerland,CHE,Europe,Western Europe,Not member,Not member,-
Syrian Arab Republic,SYR,Asia,Western Asia,Not member,Not member,-
Tajikistan,TJK,Asia,Central Asia,Not member,Not member,-
Thailand,THA,Asia,South-eastern Asia,Not member,Not member,-
Timor-Leste,TLS,Asia,South-eastern Asia,Not member,Not member,-
Togo,TGO,Africa,Southern Africa,Not member,Not member,-
Tokelau,TKL,Oceania,Polynesia,Not member,Not member,-
Tonga,TON,Oceania,Polynesia,Not member,Not member,-
Trinidad and Tobago,TTO,Latin America and the Caribbean,Caribbean,Not member,Not member,-
Tunisia,TUN,Africa,Northern Africa,Not member,Not member,-
Türkiye,TUR,Asia,Western Asia,Not member,Member,-
Turkmenistan,TKM,Asia,Central Asia,Not member,Not member,-
Turks and Caicos Islands,TCA,Latin America and the Caribbean,Caribbean,Not member,Not member,-
Tuvalu,TUV,Oceania,Polynesia,Not member,Not member,-
Uganda,UGA,Africa,Eastern Africa,Not member,Not member,-
Ukraine,UKR,Europe,Eastern Europe,Not member,Not member,-
United Arab Emirates,ARE,Asia,Western Asia,Not member,Not member,-
United Kingdom of Great Britain and Northern Ireland,GBR,Europe,Northern Europe,Permanent member,Member,-
United Republic of Tanzania,TZA,Africa,Eastern Africa,Not member,Not member,-
United States Minor Outlying Islands,UMI,Oceania,Micronesia,Not member,Not member,-
United States of America,USA,Latin America and the Caribbean,Northern America,Permanent member,Member,-
United States Virgin Islands,VIR,Latin America and the Caribbean,Caribbean,Not member,Not member,-
Uruguay,URY,Latin America and the Caribbean,South America,Not member,Not member,-
Uzbekistan,UZB,Asia,Central Asia,Not member,Member,-
Vanuatu,VUT,Oceania,Melanesia,Not member,Not member,-
Venezuela (Bolivarian Republic of),VEN,Latin America and the Caribbean,South America,Not member,Not member,-
Viet Nam,VNM,Asia,South-eastern Asia,Not member,Not member,-
Wallis and Futuna Islands,WLF,Oceania,Polynesia,Not member,Not member,-
Western Sahara,ESH,Africa,Western Sahara,Not member,Not member,-
Yemen,YEM,Asia,Western Asia,Not member,Not member,-
Zambia,ZMB,Africa,Eastern Africa,Not member,Not member,-
Zimbabwe,ZWE,Africa,Eastern Africa,Not member,Not member,-
